name,developer,class,copies_sold
Devil May Cry 5,"CAPCOM Co., Ltd.",AAA,6.7m
Liar's Bar,Curve Animation,Indie,6.7m
BattleBlock Theater®,The Behemoth,AA,6.6m
DEVOUR,Straight Back Games,Indie,6.6m
Saints Row IV: Re-Elected,Deep Silver Volition,AAA,6.5m
Frostpunk,11 bit studios,AA,6.5m
Dead Cells,Motion Twin,AA,6.5m
theHunter Classic,"Expansive Worlds, Avalanc…",Indie,6.5m
Middle-earth™: Shadow of …,,AA,6.5m
Yu-Gi-Oh! Duel Links,KONAMI,AAA,6.5m
CRSED: Cuisine Royale,"Darkflow Software, Matter…",AA,6.5m
Mortal Kombat 11,"NetherRealm Studios, QLOC…",AAA,6.4m
Green Hell,Creepy Jar,AA,6.3m
Mount & Blade II: Bannerl…,TaleWorlds Entertainment,AA,6.3m
Space Engineers,Keen Software House,AA,5.7m
Monster Hunter Wilds,"CAPCOM Co., Ltd.",AAA,5.6m
The First Descendant,"NEXON Games Co., Ltd.",AA,5.6m
Helltaker,vanripper,Indie,5.6m
Eternal Return,Nimble Neuron,AA,5.6m
Horizon Zero Dawn™ Comple…,Guerrilla,AAA,5.6m
MIR4,Wemade Next,Indie,5.5m
STAR WARS™: The Old Repub…,Broadsword,AAA,5.5m
Detroit: Become Human,Quantic Dream,AA,5.5m
Prison Architect,"Introversion Software, Do…",AAA,5.5m
Minion Masters,BetaDwarf,Indie,5.4m
Planet Coaster,"Frontier Developments, As…",AA,5.4m
Ori and the Will of the W…,Moon Studios GmbH,AAA,5.4m
Rec Room,Rec Room,Indie,5.4m
One-armed robber,Duhndal,Indie,5.4m
Europa Universalis IV,Paradox Development Studi…,AAA,5.3m
V Rising,Stunlock Studios,AA,5.3m
Escape the Backrooms,Fancy Games,Indie,5.3m
ASTRONEER,System Era Softworks,AA,5.3m
Farlight 84,Farlight Games,Indie,4.8m
UNO,Ubisoft Entertainment,AA,4.8m
Call of Duty®: Modern War…,Infinity Ward,AAA,4.8m
Grim Dawn,Crate Entertainment,AA,4.7m
Draw & Guess,Acureus,Indie,4.7m
Hotline Miami,Dennaton Games,AA,4.7m
RaceRoom Racing Experienc…,KW Studios,Indie,4.7m
Planet Zoo,Frontier Developments,AA,4.7m
Content Warning,"Wilnyl, Philip, thePetHen…",AA,4.7m
Stay Out,MOBITECH LLC,Indie,4.7m
Assassin's Creed® Origins,Ubisoft Montreal,AAA,4.7m
Quake Champions,id Software,AAA,4.6m
Torchlight II,Runic Games,AA,4.6m
Gunfire Reborn,Duoyi Games,AA,4.6m
Totally Accurate Battle S…,Landfall,AA,4.6m
Crusader Kings III,Paradox Development Studi…,AAA,4.6m
Path of Exile 2,Grinding Gear Games,AA,4.6m
Gang Beasts,"Boneloaf, Rocket Science",Indie,4.6m
Transformice,Atelier 801,Indie,4.6m
Super Meat Boy,Team Meat,Hobbyist,4.1m
Mirror's Edge™,DICE,AAA,4.1m
FTL: Faster Than Light,Subset Games,Indie,4.1m
FragPunk,Bad Guitar Studio,Indie,4m
Hell Let Loose,Team17,AA,4m
Dishonored 2,Arkane Studios,AAA,4m
Elite Dangerous,Frontier Developments,AA,4m
TEKKEN 7,BANDAI NAMCO Studios Inc.,AA,4m
The Walking Dead,Telltale Games,AA,4m
Dead Frontier 2,Creaky Corpse Ltd,Indie,4m
South Park™: The Stick of…,Obsidian Entertainment,AAA,4m
Resident Evil 4,"CAPCOM Co., Ltd.",AAA,3.9m
Assassin's Creed® Unity,Ubisoft,AAA,3.9m
SpeedRunners,DoubleDutch Games,AA,3.9m
Krunker,FRVR,Indie,3.9m
STALCRAFT: X,EXBO,Indie,3.9m
PROJECT: PLAYTIME,Mob Entertainment,Indie,3.9m
XCOM: Enemy Unknown,"Firaxis Games, Feral Inte…",AAA,3.9m
Noita,Nolla Games,Indie,3.9m
RuneScape ®,Jagex Ltd,AA,3.6m
Total War: ROME II - Empe…,CREATIVE ASSEMBLY,AAA,3.6m
DARK SOULS™: REMASTERED,"QLOC, FromSoftware, Inc.",AAA,3.6m
Combat Master: Season 4,Alfa Bravo Inc,Indie,3.6m
Kenshi,Lo-Fi Games,AA,3.5m
Broforce,Free Lives,AA,3.5m
Call of Duty®: Warzone™,"Infinity Ward, Raven Soft…",AAA,3.5m
Mortal Kombat X,"NetherRealm Studios, QLOC",AAA,3.5m
BioShock™ Remastered,"2K Boston, 2K Australia, …",AAA,3.5m
For The King,IronOak Games,AA,3.5m
Scrap Mechanic,Axolot Games,AA,3.5m
Banana Shooter,CodingDaniel,Hobbyist,3.5m
"Warhammer 40,000: Space M…",Saber Interactive,AAA,3.5m
Resident Evil 6,Capcom,AA,3.5m
Mafia II (Classic),2K Czech,AAA,3.5m
Mafia: Definitive Edition,Hangar 13,AAA,3.5m
Bro Falls,Boros Bros,Indie,3.5m
MORDHAU,Triternion,AA,3.5m
World of Guns: Gun Disass…,Noble Empire Corp.,Indie,3.4m
Cats,"100 Cozy Games, Cats",Indie,3.1m
Subnautica: Below Zero,Unknown Worlds Entertainm…,AA,3.1m
GTFO,10 Chambers,AA,3.1m
S.T.A.L.K.E.R.: Shadow of…,GSC Game World,AA,3.1m
Call of Duty®: Black Ops …,Treyarch,AAA,3.1m
Darwin Project,Scavengers Studio,Indie,3.1m
Hero Siege,Panic Art Studios Ltd,Indie,3.1m
Dragon's Dogma: Dark Aris…,Capcom,AA,3.1m
FIFA 22,EA Canada & EA Romania,AAA,3m
The Stanley Parable,Galactic Cafe,Indie,3m
ORION: Prelude,DANKIE,Indie,3m
Total War: WARHAMMER,"CREATIVE ASSEMBLY, Feral …",AAA,3m
Chinese Parents,墨鱼玩游戏,Indie,3m
Max Payne 3,Rockstar Studios,AAA,3m
Call of Duty: World at Wa…,Treyarch,AAA,3m
EA SPORTS FC™ 24,"EA Canada, EA Romania",AAA,3m
DiRT Rally 2.0,Codemasters,Indie,3m
Resident Evil 3,"CAPCOM Co., Ltd.",AAA,3m
Sniper Elite 3,Rebellion,AA,3m
Yakuza 0,Ryu Ga Gotoku Studio,AAA,2.7m
Assassin’s Creed® IV Blac…,Ubisoft Montreal,Hobbyist,2.7m
Teardown,Tuxedo Labs,AA,2.7m
Love Is All Around,intiny,Indie,2.7m
ShellShock Live,kChamp Games,Indie,2.7m
Remnant: From the Ashes,Gunfire Games,AA,2.7m
MapleStory,NEXON Korea Corporation,AA,2.7m
Codename CURE,Raptor Byte,Hobbyist,2.7m
Serious Sam 3: BFE,Croteam,AA,2.7m
Hero's Land,钢之直男工作室,Indie,2.7m
Blasphemous,The Game Kitchen,AA,2.7m
Catan Universe,Client/Frontend: Endava …,Indie,2.7m
Freestyle 2: Street Baske…,JOYCITY,Indie,2.7m
Life is Strange 2,"DONTNOD Entertainment, Fe…",AA,2.6m
Shadow Warrior 2,Flying Wild Hog,AA,2.6m
The Outlast Trials,Red Barrels,AA,2.6m
Cell to Singularity - Evo…,Computer Lunch,Indie,2.6m
Scribble It!,Detach Entertainment,Hobbyist,2.6m
Cookie Clicker,"Orteil, DashNet",Indie,2.6m
L.A. Noire,"Team Bondi, Rockstar Leed…",AAA,2.4m
Red Dead Online,Rockstar Games,AAA,2.4m
Pixel Gun 3D: PC Edition,Cubic Games Studio,Indie,2.4m
KovaaK's,KovaaK Games,Indie,2.4m
Banished,Shining Rock Software LLC,Indie,2.4m
Dark Deception,Glowstick Entertainment,Indie,2.4m
The Isle,Afterthought LLC,Indie,2.4m
"Warhammer 40,000: Darktid…",Fatshark,AA,2.4m
WARMODE,Novalink,Indie,2.4m
Risk of Rain (2013),Hopoo Games,AA,2.4m
Phantasy Star Online 2 Ne…,SEGA,AAA,2.4m
ENDLESS™ Legend,AMPLITUDE Studios,AAA,2.4m
FINAL FANTASY XV WINDOWS …,Square Enix,AA,2.4m
Will To Live Online,AlphaSoft LLC,Indie,2.4m
Command & Conquer™ Red Al…,EA Los Angeles,AAA,2.4m
TCG Card Shop Simulator,OPNeon Games,Indie,2.4m
Watch_Dogs™,Ubisoft,AAA,2.4m
Project Winter,Other Ocean Interactive,Indie,2.4m
MiSide,AIHASTO,AA,2.4m
Control Ultimate Edition,Remedy Entertainment,AA,2.2m
Men of War: Assault Squad…,Digitalmindsoft,AA,2.2m
Viscera Cleanup Detail: S…,RuneStorm,AA,2.2m
Pavlov,Vankrupt Games,Indie,2.2m
MudRunner,Saber Interactive,AAA,2.2m
Call of Duty®: WWII,"Sledgehammer Games, Raven…",AAA,2.2m
Surgeon Simulator,Bossa Studios,Indie,2.2m
PlateUp!,It's happening,Indie,2.2m
Z1 Battle Royale: Test Se…,Daybreak Game Company,Indie,2.2m
Century: Age of Ashes,Playwing LTD,Indie,2.2m
To the Moon,Freebird Games,Indie,2.2m
Assetto Corsa Competizion…,Kunos Simulazioni,AA,2.2m
Just Act Natural,"Conor Garity, Liam Kerrig…",Indie,2.2m
Emily is Away,Kyle Seeley,Indie,2.2m
Mirror,KAGAMI WORKS,Indie,2.2m
Dungeon Defenders,Chromatic Games,Indie,2.2m
Rising Storm 2: Vietnam,"Antimatter Games, Tripwir…",AA,2.2m
Skullgirls 2nd Encore,Hidden Variable Studios,Indie,2.1m
BLOCKPOST LEGACY,Skullcap Studios,Indie,2.1m
America's Army: Proving G…,U.S. Army,Hobbyist,2m
Stacklands,Sokpop Collective,Indie,2m
Tom Clancy's Ghost Recon®…,Ubisoft Paris,AAA,2m
PowerWash Simulator,FuturLab,AA,2m
Wreckfest,Bugbear,AA,2m
Creativerse,Playful Corp.,Indie,2m
Gear Up,Doctor Entertainment AB,Indie,2m
McOsu,McKay,Hobbyist,2m
Medieval Dynasty,Render Cube,AA,2m
DRAGON BALL XENOVERSE 2,"QLOC, DIMPS",AAA,2m
Star Conflict,Star Gem Inc.,AA,2m
太吾绘卷 The Scroll Of Taiwu,ConchShip Games,Indie,2m
NARUTO TO BORUTO: SHINOBI…,Soleil Ltd.,AAA,2m
Train Simulator Classic 2…,Dovetail Games,Indie,2m
Total War: ATTILA,CREATIVE ASSEMBLY,AAA,2m
Battle Teams 2,Wizard Games,Indie,2m
PICO PARK:Classic Edition,TECOPARK,Indie,1.9m
Duck Game,Landon Podbielski,Indie,1.9m
Hades II,Supergiant Games,AA,1.9m
Town of Salem,BlankMediaGames,Indie,1.9m
Persona 4 Golden,ATLUS,AAA,1.8m
CS2D,Unreal Software,Hobbyist,1.8m
Bright Memory: Infinite,FYQD-Studio,Indie,1.8m
ROUNDS,Landfall,AA,1.8m
War Selection,Glyph Worlds,Indie,1.8m
Forager,HopFrog,AA,1.8m
Transistor,Supergiant Games,AA,1.8m
Car Mechanic Simulator 20…,Red Dot Games,AA,1.8m
Katana ZERO,Askiisoft,AA,1.8m
死寂（Deathly Stillness）,谌嘉诚,Hobbyist,1.8m
Microsoft Flight Simulato…,Microsoft Game Studios,AAA,1.8m
ARK: Survival Ascended,"Studio Wildcard, Grove St…",AAA,1.8m
Pixel Strike 3D,Vulcron,Indie,1.8m
Knight Online,"Noah System, Mgame",Indie,1.8m
STAR WARS™ Knights of the…,"Obsidian Entertainment, A…",AA,1.8m
Dragon Age: Origins - Ult…,BioWare,AAA,1.8m
Heroes® of Might & Magic®…,Dotemu,AA,1.8m
Assassin's Creed® Syndica…,"Ubisoft Quebec, in collab…",AAA,1.8m
ICARUS,RocketWerkz,Indie,1.7m
LIMBO,Playdead,Indie,1.7m
The Long Drive,Genesz,Indie,1.7m
TCG Card Shop Simulator: …,OPNeon Games,Indie,1.7m
DREDGE,Black Salt Games,AA,1.7m
Forts,EarthWork Games,Indie,1.7m
Little Nightmares II,Tarsier Studios,AA,1.7m
Nioh 2 – The Complete Edi…,"KOEI TECMO GAMES CO., LTD…",AA,1.7m
City Car Driving,"Forward Development, Ltd.",Indie,1.7m
Dino D-Day,800 North and Digital Ran…,Indie,1.7m
Microsoft Flight Simulato…,Asobo Studio,AAA,1.7m
Gujian3(古剑奇谭三),"上海烛龙信息科技有限公司, Aurogon Sha…",Indie,1.7m
Far Cry® New Dawn,"Ubisoft Montreal, Ubisoft…",AAA,1.7m
Portal Knights,Keen Games GmbH,AA,1.6m
The Last of Us™ Part I,"Naughty Dog LLC, Iron Gal…",AAA,1.6m
20 Minutes Till Dawn,flanne,Indie,1.6m
AirMech,Carbon Games,Indie,1.6m
Need for Speed™ Unbound,Criterion Games,AAA,1.6m
Ghost of Tsushima DIRECTO…,"Sucker Punch Productions,…",AAA,1.6m
Riders of Icarus,"WeMade, VALOFE",Indie,1.6m
The Elder Scrolls IV: Obl…,,AAA,1.6m
Google Earth VR,Google,Hobbyist,1.6m
S.T.A.L.K.E.R. 2: Heart o…,GSC Game World,AA,1.6m
Sid Meier's Civilization®…,"Firaxis Games, Aspyr (Mac…",AAA,1.6m
Spectre Divide,Mountaintop Studios,Indie,1.6m
WAKFU,Ankama Studio,Indie,1.6m
FEZ,Polytron Corporation,Indie,1.5m
Enlisted,Darkflow Software,AA,1.5m
High Octane Drift,Cruderocks,Hobbyist,1.5m
Far Cry® 2,Ubisoft Montreal,AAA,1.5m
Granblue Fantasy: Relink,"Cygames, Inc.",AA,1.5m
The Planet Crafter,Miju Games,Indie,1.5m
STAR WARS™: Squadrons,MOTIVE,AAA,1.5m
RAGE,id Software,AAA,1.5m
FINAL FANTASY VII,Square Enix,AA,1.5m
DARK SOULS™ II,"FromSoftware, Inc.",AA,1.5m
Need for Speed™ Payback,Ghost Games,AAA,1.5m
Assassin's Creed™: Direct…,Ubisoft Montreal,AAA,1.5m
Fears to Fathom - Home Al…,Rayll,Indie,1.4m
Super Hexagon,Terry Cavanagh,Indie,1.4m
Tropico 6,"Limbic Entertainment, Rea…",AA,1.4m
Portal with RTX,Lightspeed Studios™,Hobbyist,1.4m
Strinova,iDreamSky,Indie,1.4m
FINAL FANTASY VII REMAKE …,Square Enix,AA,1.4m
Command & Conquer: Red Al…,EA Los Angeles,AAA,1.4m
BRAIN / OUT,Desertkun,Indie,1.4m
GrandChase,KOG,Indie,1.4m
AudioSurf,Dylan Fitterer,Hobbyist,1.4m
Divinity: Original Sin (C…,Larian Studios,AAA,1.4m
Elsword,KOG,Indie,1.4m
BLEACH Brave Souls,KLab Inc.,Indie,1.4m
Sonic & All-Stars Racing …,Sumo Digital,AAA,1.4m
Sakura Clicker,Winged Cloud,Indie,1.4m
Resident Evil,"CAPCOM Co., Ltd.",AAA,1.4m
War Trigger 3,"Rocketeer Games Studio, L…",Indie,1.4m
The Wolf Among Us,Telltale,Indie,1.4m
STAR WARS™ Republic Comma…,LucasArts,AA,1.4m
Transport Fever 2,Urban Games,AA,1.4m
Baldur's Gate: Enhanced E…,Beamdog,Indie,1.4m
Bongo Cat,Marcel Zurawka,Indie,1.4m
Monster Train,Shiny Shoe,AA,1.4m
Universe Sandbox,Giant Army,Indie,1.4m
Pathfinder: Kingmaker — E…,Owlcat Games,Indie,1.4m
Alice: Madness Returns,Spicy Horse Games,AAA,1.4m
Layers of Fear (2016),Bloober Team SA,Indie,1.4m
Resident Evil Revelations…,"CAPCOM Co., Ltd.",AAA,1.4m
Fallout 3,Bethesda Game Studios,AAA,1.3m
Orcs Must Die! 3,Robot Entertainment,Indie,1.3m
BLOCKADE,Novalink,Indie,1.3m
Split Fiction,Hazelight Studios,AAA,1.3m
Backrooms: Escape Togethe…,Triiodide Studios,Indie,1.3m
Shadow Warrior,Flying Wild Hog,AA,1.3m
STAR WARS™ - The Force Un…,LucasArts,AA,1.3m
Slime Rancher 2,Monomi Park,AA,1.3m
Iron Harvest,KING Art,AA,1.3m
Assassin's Creed Valhalla,Ubisoft Montreal,AAA,1.3m
NBA 2K25,Visual Concepts,AAA,1.3m
Hand Simulator: Survival,HFM Games,Indie,1.3m
HUMANKIND™,AMPLITUDE Studios,AAA,1.3m
Myth of Empires,Angela Game,Indie,1.3m
Hurtworld,Bankroll Studios,Indie,1.3m
Sniper Ghost Warrior 3,CI Games,AA,1.3m
Dome Keeper,Bippinbits,AA,1.3m
Football Manager 2024,Sports Interactive,AAA,1.3m
Call of Duty®: Ghosts,Infinity Ward,AAA,1.3m
HuniePop 2: Double Date,HuniePot,Indie,1.3m
STAR WARS™ Empire at War …,Petroglyph,AA,1.3m
LOCKDOWN Protocol,Mirage Creative Lab,Indie,1.3m
OMORI,"OMOCAT, LLC",Indie,1.2m
Antichamber,Alexander Bruce,Indie,1.2m
Worms Armageddon,Team17 Digital Ltd,Indie,1.2m
FINAL FANTASY X/X-2 HD Re…,Square Enix,AA,1.2m
Supermarket Simulator: Pr…,Nokta Games,Indie,1.2m
Mini Motorways,Dinosaur Polo Club,Indie,1.2m
Deadside,Bad Pixel,Indie,1.2m
Punch Club,Lazy Bear Games,AA,1.2m
Call of Duty®: Infinite W…,Infinity Ward,AAA,1.2m
Bombergrounds: Reborn,Gigantic Duck Games,Indie,1.2m
Sniper Elite 5,Rebellion,AA,1.2m
Homeworld Remastered Coll…,"Gearbox Software, Aspyr (…",AA,1.2m
Trine 4: The Nightmare Pr…,Frozenbyte,Indie,1.2m
Life is Strange: Before t…,"Deck Nine, Feral Interact…",AA,1.2m
BONEWORKS,Stress Level Zero,Indie,1.2m
Digimon Masters Online,"Move Games Co., Ltd.",Indie,1.2m
Yakuza: Like a Dragon,Ryu Ga Gotoku Studio,AAA,1.2m
Tower of Fantasy,Hotta Studio,Indie,1.2m
We Were Here Forever,Total Mayhem Games,Indie,1.2m
Plants vs. Zombies: Battl…,PopCap,AAA,1.2m
Thronefall,GrizzlyGames,Indie,1.2m
Relic Hunters Zero: Remix,Rogue Snail,Indie,1.2m
Shadow Tactics: Blades of…,Mimimi Games,AA,1.2m
Tales of Arise,Bandai Namco Studios Inc.,AAA,1.2m
Tap Ninja - Idle game,Broken Glass,Indie,1.2m
State of Decay,Undead Labs,AAA,1.2m
Deducto,Red Fox Studios,Indie,1.1m
Gems of War - Puzzle RPG,Infinity Plus 2,AA,1.1m
Samsara Room,Rusty Lake,Indie,1.1m
Backpack Battles,PlayWithFurcifer,Indie,1.1m
Farm Together,Milkstone Studios,Indie,1.1m
NGU IDLE,4G,Indie,1.1m
AdVenture Communist,Hyper Hippo Games,Indie,1.1m
Day of Defeat: Source,Valve,AAA,1.1m
Paint the Town Red,South East Games,Indie,1.1m
Sniper Ghost Warrior Cont…,CI Games,AA,1.1m
ArcheBlade™,CodeBrush Games,Hobbyist,1.1m
House Party,"Eek! Games, LLC",Indie,1.1m
Mindustry,AnukenDev,Indie,1.1m
FreshWomen - Season 1,OppaiMan,Indie,1.1m
Aliens: Fireteam Elite,Cold Iron Studios,Indie,1.1m
Monster Girl Island: Prol…,Redamz,Hobbyist,1.1m
Victoria II,Paradox Development Studi…,AAA,1.1m
BrainBread 2,Reperio Studios,Hobbyist,1.1m
Amazing Cultivation Simul…,GSQ Games,Indie,1.1m
Dragon's Dogma 2 Characte…,"CAPCOM Co., Ltd.",AAA,1.1m
The Elder Scrolls V: Skyr…,Bethesda Game Studios,AAA,1.1m
Trailmakers,Flashbulb,Indie,1.1m
Nuclear Nightmare,BG Productions,Indie,1.1m
The Stanley Parable: Ultr…,Crows Crows Crows,Indie,1.1m
NARUTO SHIPPUDEN: Ultimat…,CyberConnect2 Co. Ltd.,AA,1.1m
Prototype™,Radical Entertainment,AAA,1.1m
Marbles on Stream,Pixel by Pixel Studios In…,Indie,1.1m
Bodycam,Reissad Studio,Indie,1.1m
FINAL FANTASY® XIII,Square Enix,AA,1m
Rocksmith® 2014 Edition R…,"Ubisoft - San Francisco, …",AAA,1m
RollerCoaster Tycoon® 3: …,"Frontier, Aspyr (Mac)",Hobbyist,1m
Of Guards And Thieves,"Subvert Games, Polygon Mo…",Hobbyist,1m
The Survivalists,Team17,AA,1m
Valiant Hearts: The Great…,Ubisoft Montpellier,AAA,1m
TerraTech,Payload Studios,Indie,1m
Clustertruck,Landfall,AA,1m
The Ascent,Neon Giant,AA,1m
DYNASTY WARRIORS 8: Xtrem…,"KOEI TECMO GAMES CO., LTD…",AA,1m
Hacknet,Team Fractal Alligator,Indie,1m
Sun Haven,Pixel Sprout Studios,Indie,1m
Danganronpa 2: Goodbye De…,"Spike Chunsoft Co., Ltd.,…",AA,1m
Garten of Banban,Euphoric Brothers,Indie,1m
Teeworlds,Teeworlds Team,Hobbyist,1m
Wizard101,KingsIsle Entertainment,Indie,1m
月圆之夜 (Night of Full Moon),Giant Games,Indie,1m
Call of Duty®: Advanced W…,"Sledgehammer Games, Raven…",AAA,1m
Farming Simulator 15,Giants Software,AA,1m
Baldur's Gate II: Enhance…,Beamdog,Indie,1m
Dungeon Fighter Online,Neople,Indie,1m
Mafia II: Definitive Edit…,"Hangar 13, D3T",AAA,1m
Max Payne,Remedy Entertainment,AAA,1m
Saints Row 2,Volition,AAA,1m
Feed and Grow: Fish,Old B1ood,Indie,1m
Mirror's Edge™ Catalyst,DICE,AAA,1m
Death Must Die,Realm Archive,Indie,1m
GreedFall,Spiders,AAA,1m
Prototype 2,Radical Entertainment,AAA,1m
X4: Foundations,Egosoft,Indie,981.7k
Lost,DSGame,Indie,980k
PickCrafter,Fiveamp,Indie,979.1k
Gunpoint,Suspicious Developments,Indie,979.1k
Sneak Out,Kinguin Studios,Indie,978.1k
XERA: Survival,Spotted Kiwi Interactive,Indie,977.9k
Gray Zone Warfare,"MADFINGER Games, a.s.",Indie,977.8k
Space Hulk: Deathwing Enh…,Streum On Studio,AAA,977k
Sins of a Solar Empire®: …,Ironclad Games Corporatio…,AA,974.5k
RollerCoaster Tycoon®: De…,Chris Sawyer Productions,Indie,973.1k
Heavy Rain,Quantic Dream,AA,973.1k
Pillars of Eternity II: D…,Obsidian Entertainment,Indie,973k
Hero's Adventure: Road to…,半瓶醋工作室（Half Amateur Studi…,Indie,972.4k
Tell Me Why,DONTNOD Entertainment,AAA,972.4k
Day of Infamy,New World Interactive,Indie,971.9k
Clone Drone in the Danger…,Doborog Games,Indie,971.5k
Lucius,Shiver Games,Indie,970k
Senren＊Banka,YUZUSOFT,Indie,970k
Kingdom Two Crowns,"Stumpy🐙Squid, Fury Studi…",AA,966.1k
Darksiders II Deathinitiv…,"Gunfire Games, Vigil Game…",AA,927.9k
Never Split the Party,Legend Studio,Indie,924.1k
Squad 44,Offworld,AA,923.9k
Prison Simulator Prologue,Baked Games,Indie,923.6k
The Darkness II,Digital Extremes,AAA,922k
A.V.A Global,Valiant,Indie,921.3k
Monaco: What's Yours Is M…,Pocketwatch Games,AA,921k
Overcooked,Ghost Town Games Ltd.,Indie,920.3k
Genital Jousting,Free Lives,AA,920.2k
Peglin,Red Nexus Games Inc.,Indie,919.1k
OneShot,Future Cat LLC,Indie,918.7k
Trine 2: Complete Story,Frozenbyte,Indie,918.6k
Hunger Dungeon,No Stuck Game Studio,Indie,915.8k
Professional Fishing,MasterCode,Indie,913.3k
Far Cry®,Crytek Studios,AAA,911.2k
E.Y.E: Divine Cybermancy,Streum On Studio,Indie,910k
The Room Two,Fireproof Games,Indie,909.3k
60 Seconds! Reatomized,Robot Gentleman,Indie,908.2k
Pool Nation FX Lite,Cherry Pop Games,Indie,906.9k
Idle Slayer,Pablo Leban,Indie,876.5k
Supraball,Supra Games,Indie,875.1k
Dawn of Man,Madruga Works,Indie,871.8k
Hello Neighbor 2 Alpha 1.…,"Eerie Guest, tinyBuild",AA,871.7k
Going Medieval,Foxy Voxel,Indie,869.9k
Crab Champions,Noisestorm,Indie,869.5k
Ravenswatch,Passtech Games,AA,869.4k
DEATH STRANDING DIRECTOR'…,KOJIMA PRODUCTIONS,AA,864.6k
The Elder Scrolls III: Mo…,Bethesda Game Studios,AAA,864.1k
Lords of the Fallen,CI Games,AA,863.9k
Ghost Watchers,Renderise,Indie,863.8k
Cossacks 3,GSC Game World,AA,860.4k
Kingdom Rush - Tower Def…,Ironhide Game Studio,Indie,860.4k
Octodad: Dadliest Catch,Young Horses,Indie,859.8k
Hand of Fate,Defiant Development,Indie,859.4k
ALTF4,PUMPKIM,Indie,859.2k
Homefront®: The Revolutio…,Dambuster Studios,AAA,858.3k
Soda Dungeon,"AN Productions, Poxpower",Indie,857.8k
Lunch Lady,Manic Mice,Indie,857.5k
Darkest Dungeon® II,Red Hook Studios,AA,825.3k
Crusaders of the Lost Ido…,Codename Entertainment In…,Indie,825.3k
Breeders of the Nephelym:…,DerelictHelmsman,Hobbyist,825.2k
Move or Die,"Xelu, Those Awesome Guys",Indie,824.9k
